0,1,2,3,4,5,6,7,8,9,10
frozen meals,canned vegetables,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
frankfurter,bottled water,shopping bags,finished products,yogurt,newspapers,tropical fruit,liquor (appetizer),dog food,,
long life bakery product,semi-finished bread,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
beef,brown bread,,,,,,,,,
canned beer,margarine,,,,,,,,,
frankfurter,hard cheese,bottled beer,,,,,,,,
cake bar,red/blush wine,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
meat,bottled water,,,,,,,,,
ice cream,canned beer,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
beef,whole milk,,,,,,,,,
rolls/buns,yogurt,fruit/vegetable juice,,,,,,,,
bottled beer,whole milk,,,,,,,,,
frankfurter,other vegetables,bottled beer,,,,,,,,
pasta,yogurt,specialty bar,,,,,,,,
cat food,tropical fruit,whipped/sour cream,,,,,,,,
whipped/sour cream,detergent,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
berries,candy,rolls/buns,,,,,,,,
berries,oil,cat food,,,,,,,,
yogurt,pasta,butter,rolls/buns,,,,,,,
canned beer,specialty chocolate,other vegetables,cream cheese ,,,,,,,
sausage,berries,soda,yogurt,,,,,,,
beef,sparkling wine,frozen fish,chewing gum,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
bottled water,coffee,,,,,,,,,
other vegetables,napkins,,,,,,,,,
hamburger meat,grapes,candy,,,,,,,,
coffee,rolls/buns,,,,,,,,,
UHT-milk,margarine,,,,,,,,,
ham,tropical fruit,popcorn,,,,,,,,
packaged fruit/vegetables,bottled water,pork,domestic eggs,,,,,,,
pork,citrus fruit,UHT-milk,dessert,,,,,,,
dish cleaner,pet care,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
specialty chocolate,root vegetables,popcorn,soups,,,,,,,
whole milk,shopping bags,,,,,,,,,
whole milk,chocolate,rolls/buns,brown bread,,,,,,,
rolls/buns,soda,chocolate,,,,,,,,
tropical fruit,dishes,other vegetables,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
soda,root vegetables,,,,,,,,,
sausage,bathroom cleaner,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
long life bakery product,soap,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
meat,yogurt,soda,red/blush wine,,,,,,,
oil,flour,,,,,,,,,
beverages,mustard,,,,,,,,,
citrus fruit,bottled water,specialty bar,,,,,,,,
bottled beer,soda,,,,,,,,,
bottled water,butter,waffles,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
rolls/buns,curd,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
whole milk,cleaner,,,,,,,,,
other vegetables,shopping bags,specialty bar,,,,,,,,
frankfurter,whole milk,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
frankfurter,instant coffee,root vegetables,coffee,instant coffee,sugar,rolls/buns,,,,
pip fruit,onions,,,,,,,,,
canned beer,soda,newspapers,,,,,,,,
other vegetables,sausage,white bread,soda,,,,,,,
beef,white bread,frozen vegetables,,,,,,,,
sausage,curd,margarine,,,,,,,,
canned beer,pip fruit,sugar,,,,,,,,
liver loaf,newspapers,white wine,,,,,,,,
specialty bar,semi-finished bread,,,,,,,,,
citrus fruit,soda,,,,,,,,,
canned beer,curd,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
frozen vegetables,canned beer,brown bread,soda,,,,,,,
citrus fruit,pastry,rolls/buns,,,,,,,,
soda,sausage,root vegetables,pork,whole milk,vinegar,other vegetables,domestic eggs,shopping bags,,
whipped/sour cream,coffee,shopping bags,,,,,,,,
specialty chocolate,root vegetables,,,,,,,,,
tropical fruit,ice cream,frozen fish,,,,,,,,
citrus fruit,flour,,,,,,,,,
beef,canned beer,fruit/vegetable juice,,,,,,,,
hamburger meat,bottled beer,coffee,instant coffee,yogurt,,,,,,
other vegetables,dessert,,,,,,,,,
butter,soda,,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
beef,chocolate,,,,,,,,,
salty snack,soups,brown bread,,,,,,,,
whole milk,meat,yogurt,yogurt,yogurt,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
berries,other vegetables,,,,,,,,,
soda,frozen meals,soft cheese,curd,,,,,,,
bottled beer,flower (seeds),,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
frozen fish,soda,vinegar,,,,,,,,
oil,bottled beer,yogurt,,,,,,,,
butter milk,zwieback,pot plants,,,,,,,,
whole milk,spread cheese,,,,,,,,,
soda,specialty chocolate,,,,,,,,,
onions,pork,rolls/buns,vinegar,,,,,,,
fruit/vegetable juice,frozen vegetables,,,,,,,,,
canned beer,dessert,,,,,,,,,
butter,sweet spreads,sliced cheese,,,,,,,,
soda,yogurt,brown bread,,,,,,,,
rolls/buns,bottled beer,white bread,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
sausage,dessert,,,,,,,,,
chicken,shopping bags,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
margarine,frozen vegetables,,,,,,,,,
tropical fruit,butter,frozen fruits,,,,,,,,
chicken,frankfurter,other vegetables,domestic eggs,,,,,,,
beef,soda,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
cream cheese ,chocolate marshmallow,spread cheese,pastry,,,,,,,
oil,soda,,,,,,,,,
flower (seeds),margarine,,,,,,,,,
sausage,fruit/vegetable juice,coffee,,,,,,,,
citrus fruit,bottled beer,rolls/buns,hygiene articles,softener,,,,,,
napkins,root vegetables,sliced cheese,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
pork,root vegetables,,,,,,,,,
bottled beer,shopping bags,,,,,,,,,
soda,chocolate,,,,,,,,,
whole milk,whole milk,,,,,,,,,
canned beer,whole milk,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
salt,whole milk,pickled vegetables,,,,,,,,
hamburger meat,butter milk,,,,,,,,,
white wine,newspapers,dog food,,,,,,,,
frankfurter,condensed milk,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
soda,other vegetables,chocolate,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
whole milk,canned beer,,,,,,,,,
pip fruit,flour,other vegetables,,,,,,,,
bottled water,hair spray,processed cheese,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
yogurt,newspapers,,,,,,,,,
frankfurter,pickled vegetables,,,,,,,,,
chicken,pip fruit,,,,,,,,,
soda,butter,,,,,,,,,
canned beer,finished products,beverages,dishes,,,,,,,
newspapers,dishes,,,,,,,,,
citrus fruit,yogurt,citrus fruit,other vegetables,,,,,,,
frankfurter,flour,,,,,,,,,
meat,photo/film,,,,,,,,,
female sanitary products,domestic eggs,,,,,,,,,
beverages,tropical fruit,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
domestic eggs,tropical fruit,,,,,,,,,
root vegetables,pastry,,,,,,,,,
rolls/buns,domestic eggs,ice cream,pot plants,,,,,,,
whole milk,hamburger meat,pip fruit,curd,margarine,instant coffee,misc. beverages,,,,
sausage,beef,,,,,,,,,
whole milk,frozen meals,,,,,,,,,
tropical fruit,mustard,,,,,,,,,
whole milk,white bread,,,,,,,,,
rolls/buns,other vegetables,pastry,,,,,,,,
cream cheese ,soda,,,,,,,,,
hygiene articles,bottled water,,,,,,,,,
yogurt,whole milk,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
chocolate,shopping bags,,,,,,,,,
frozen vegetables,root vegetables,,,,,,,,,
soda,soda,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
whole milk,soda,tea,,,,,,,,
chicken,hamburger meat,shopping bags,,,,,,,,
chicken,root vegetables,whole milk,rolls/buns,,,,,,,
canned beer,berries,,,,,,,,,
soda,yogurt,,,,,,,,,
sausage,grapes,light bulbs,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
canned beer,grapes,,,,,,,,,
citrus fruit,beef,tropical fruit,curd,,,,,,,
pork,brown bread,fruit/vegetable juice,shopping bags,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
citrus fruit,canned beer,rolls/buns,whole milk,,,,,,,
citrus fruit,baking powder,,,,,,,,,
sausage,white bread,coffee,,,,,,,,
sugar,bottled water,,,,,,,,,
sausage,chocolate,,,,,,,,,
pork,pickled vegetables,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
zwieback,citrus fruit,,,,,,,,,
newspapers,cat food,,,,,,,,,
frankfurter,butter,,,,,,,,,
dessert,dental care,waffles,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
canned beer,beverages,,,,,,,,,
sausage,bottled water,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
coffee,hamburger meat,,,,,,,,,
soda,brandy,,,,,,,,,
sugar,citrus fruit,napkins,,,,,,,,
chicken,house keeping products,,,,,,,,,
spread cheese,whole milk,,,,,,,,,
pork,domestic eggs,,,,,,,,,
onions,onions,,,,,,,,,
grapes,misc. beverages,,,,,,,,,
other vegetables,pip fruit,chocolate,,,,,,,,
canned beer,soda,,,,,,,,,
shopping bags,whole milk,cling film/bags,bottled beer,newspapers,,,,,,
root vegetables,detergent,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
soups,bottled water,,,,,,,,,
chicken,whole milk,,,,,,,,,
bottled water,tidbits,,,,,,,,,
red/blush wine,bottled water,,,,,,,,,
butter milk,newspapers,,,,,,,,,
pork,processed cheese,beef,white wine,soda,packaged fruit/vegetables,sliced cheese,beverages,,,
coffee,softener,,,,,,,,,
sausage,other vegetables,,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
beef,spread cheese,cake bar,,,,,,,,
sugar,shopping bags,instant coffee,,,,,,,,
sliced cheese,root vegetables,,,,,,,,,
dessert,processed cheese,UHT-milk,,,,,,,,
citrus fruit,frankfurter,salty snack,newspapers,white wine,,,,,,
specialty bar,other vegetables,misc. beverages,,,,,,,,
rolls/buns,other vegetables,soft cheese,,,,,,,,
bottled water,soft cheese,dishes,chocolate,,,,,,,
shopping bags,yogurt,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
curd,brown bread,,,,,,,,,
specialty bar,soda,,,,,,,,,
white wine,coffee,,,,,,,,,
soda,shopping bags,cream cheese ,,,,,,,,
bottled water,yogurt,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
root vegetables,rolls/buns,whole milk,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
whipped/sour cream,specialty chocolate,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
root vegetables,frozen meals,,,,,,,,,
root vegetables,instant coffee,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
ice cream,rolls/buns,butter milk,,,,,,,,
tropical fruit,bottled water,dessert,,,,,,,,
sausage,specialty bar,,,,,,,,,
frankfurter,beverages,beef,whole milk,other vegetables,rolls/buns,softener,vinegar,white bread,,
domestic eggs,processed cheese,whole milk,bottled water,,,,,,,
tropical fruit,beverages,,,,,,,,,
specialty fat,condensed milk,,,,,,,,,
rolls/buns,root vegetables,frozen vegetables,waffles,,,,,,,
frankfurter,curd,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
sausage,red/blush wine,,,,,,,,,
citrus fruit,butter,UHT-milk,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
onions,rolls/buns,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
soda,root vegetables,whole milk,pastry,,,,,,,
yogurt,frozen dessert,,,,,,,,,
frozen vegetables,butter,,,,,,,,,
cat food,ham,whipped/sour cream,canned beer,,,,,,,
other vegetables,newspapers,soda,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
grapes,pickled vegetables,,,,,,,,,
seasonal products,whole milk,soda,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
misc. beverages,cling film/bags,curd,,,,,,,,
canned beer,frozen dessert,,,,,,,,,
soda,pastry,,,,,,,,,
chicken,flower (seeds),onions,rolls/buns,,,,,,,
pip fruit,pork,sausage,dessert,grapes,soda,dessert,yogurt,whole milk,,
fruit/vegetable juice,yogurt,pastry,,,,,,,,
pet care,napkins,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
photo/film,soda,,,,,,,,,
whole milk,whole milk,,,,,,,,,
rolls/buns,citrus fruit,fruit/vegetable juice,,,,,,,,
rum,yogurt,,,,,,,,,
root vegetables,frozen vegetables,misc. beverages,,,,,,,,
frankfurter,domestic eggs,frozen dessert,,,,,,,,
canned beer,other vegetables,,,,,,,,,
berries,fruit/vegetable juice,,,,,,,,,
newspapers,waffles,salty snack,,,,,,,,
sausage,whole milk,yogurt,,,,,,,,
soda,red/blush wine,,,,,,,,,
meat,canned beer,,,,,,,,,
rolls/buns,soda,other vegetables,vinegar,,,,,,,
domestic eggs,whole milk,onions,misc. beverages,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
soda,yogurt,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
rolls/buns,grapes,yogurt,rolls/buns,whole milk,rolls/buns,,,,,
sweet spreads,soda,,,,,,,,,
other vegetables,dog food,,,,,,,,,
grapes,rolls/buns,pot plants,,,,,,,,
citrus fruit,soda,coffee,,,,,,,,
soda,berries,,,,,,,,,
curd,soda,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
whole milk,flour,,,,,,,,,
brown bread,frozen meals,herbs,whole milk,hard cheese,,,,,,
oil,margarine,,,,,,,,,
specialty chocolate,brown bread,,,,,,,,,
onions,oil,,,,,,,,,
cocoa drinks,bottled water,sweet spreads,,,,,,,,
whole milk,onions,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
other vegetables,fruit/vegetable juice,oil,detergent,,,,,,,
citrus fruit,yogurt,soda,,,,,,,,
beef,hard cheese,soft cheese,yogurt,,,,,,,
whipped/sour cream,bottled water,,,,,,,,,
rolls/buns,soda,,,,,,,,,
pork,newspapers,,,,,,,,,
pip fruit,rolls/buns,yogurt,,,,,,,,
root vegetables,pastry,candles,,,,,,,,
onions,grapes,yogurt,tropical fruit,whole milk,salty snack,root vegetables,frozen dessert,whipped/sour cream,,
white bread,hard cheese,,,,,,,,,
ham,instant coffee,margarine,beef,long life bakery product,whole milk,house keeping products,semi-finished bread,,,
dessert,dog food,newspapers,,,,,,,,
whole milk,pastry,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
root vegetables,pastry,rolls/buns,condensed milk,tropical fruit,bathroom cleaner,waffles,canned beer,,,
pork,frozen fish,,,,,,,,,
beef,butter,chocolate,frozen meals,napkins,margarine,,,,,
hamburger meat,bottled beer,,,,,,,,,
UHT-milk,frozen meals,,,,,,,,,
pastry,margarine,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
coffee,root vegetables,,,,,,,,,
pork,rolls/buns,,,,,,,,,
frankfurter,white wine,,,,,,,,,
beef,other vegetables,,,,,,,,,
hamburger meat,chocolate,processed cheese,,,,,,,,
whipped/sour cream,frozen meals,,,,,,,,,
sausage,grapes,berries,curd,,,,,,,
other vegetables,coffee,,,,,,,,,
chewing gum,photo/film,yogurt,long life bakery product,soda,whole milk,,,,,
other vegetables,pastry,,,,,,,,,
roll products ,sausage,prosecco,chocolate,,,,,,,
UHT-milk,sweet spreads,,,,,,,,,
beef,soda,,,,,,,,,
chicken,margarine,,,,,,,,,
soda,pip fruit,,,,,,,,,
beef,coffee,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
meat,newspapers,,,,,,,,,
butter milk,pickled vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
canned beer,root vegetables,whole milk,whole milk,newspapers,,,,,,
brown bread,soda,,,,,,,,,
soda,shopping bags,coffee,,,,,,,,
chicken,rolls/buns,,,,,,,,,
whole milk,rolls/buns,canned fish,,,,,,,,
yogurt,berries,,,,,,,,,
whole milk,yogurt,sliced cheese,,,,,,,,
canned beer,detergent,cake bar,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
soda,chocolate marshmallow,hard cheese,,,,,,,,
frozen vegetables,whipped/sour cream,,,,,,,,,
pork,meat,whole milk,salty snack,whole milk,frozen potato products,processed cheese,rolls/buns,,,
sugar,curd,,,,,,,,,
canned beer,misc. beverages,yogurt,rolls/buns,,,,,,,
newspapers,cream,,,,,,,,,
pork,rolls/buns,,,,,,,,,
waffles,yogurt,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
frankfurter,canned beer,pastry,yogurt,,,,,,,
whole milk,canned beer,,,,,,,,,
pip fruit,grapes,pastry,,,,,,,,
turkey,canned beer,abrasive cleaner,,,,,,,,
sausage,other vegetables,,,,,,,,,
pip fruit,curd,specialty bar,beverages,sausage,soft cheese,rolls/buns,yogurt,other vegetables,curd,newspapers
long life bakery product,fruit/vegetable juice,,,,,,,,,
sausage,sausage,pip fruit,sliced cheese,root vegetables,butter milk,,,,,
soft cheese,berries,,,,,,,,,
turkey,ham,whole milk,citrus fruit,pastry,soda,,,,,
sausage,bottled beer,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
waffles,hygiene articles,tea,,,,,,,,
soda,pastry,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
shopping bags,margarine,,,,,,,,,
soda,misc. beverages,,,,,,,,,
pork,domestic eggs,,,,,,,,,
sausage,other vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pork,pork,male cosmetics,,,,,,,,
condensed milk,whole milk,,,,,,,,,
brown bread,whole milk,,,,,,,,,
yogurt,bottled beer,rolls/buns,yogurt,sugar,,,,,,
other vegetables,whole milk,,,,,,,,,
sausage,chocolate,,,,,,,,,
pip fruit,pudding powder,,,,,,,,,
whole milk,white bread,,,,,,,,,
light bulbs,whipped/sour cream,,,,,,,,,
bottled beer,butter,,,,,,,,,
yogurt,pastry,kitchen towels,,,,,,,,
turkey,frozen dessert,shopping bags,,,,,,,,
condensed milk,bottled water,bottled beer,,,,,,,,
yogurt,bottled water,domestic eggs,,,,,,,,
whole milk,hygiene articles,,,,,,,,,
pip fruit,soda,,,,,,,,,
ham,liquor (appetizer),,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
beef,rolls/buns,,,,,,,,,
shopping bags,bottled water,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
frankfurter,pork,ketchup,,,,,,,,
seasonal products,bottled beer,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,bottled water,,,,,,,,,
root vegetables,coffee,,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
whole milk,butter,,,,,,,,,
bottled beer,white wine,candles,,,,,,,,
rolls/buns,dental care,,,,,,,,,
brown bread,soda,,,,,,,,,
other vegetables,shopping bags,packaged fruit/vegetables,,,,,,,,
salty snack,other vegetables,shopping bags,,,,,,,,
fruit/vegetable juice,pip fruit,,,,,,,,,
tidbits,berries,,,,,,,,,
canned beer,shopping bags,whole milk,,,,,,,,
packaged fruit/vegetables,tea,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
curd,processed cheese,bottled water,pickled vegetables,,,,,,,
hamburger meat,pet care,pastry,,,,,,,,
yogurt,waffles,domestic eggs,,,,,,,,
shopping bags,frozen vegetables,,,,,,,,,
oil,soda,sliced cheese,,,,,,,,
rolls/buns,whipped/sour cream,dishes,,,,,,,,
pip fruit,white bread,,,,,,,,,
frankfurter,beef,soda,rolls/buns,pastry,bottled water,ketchup,pastry,,,
root vegetables,shopping bags,,,,,,,,,
root vegetables,waffles,,,,,,,,,
oil,canned beer,,,,,,,,,
turkey,flour,,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
bottled beer,frozen meals,whole milk,root vegetables,,,,,,,
pastry,newspapers,,,,,,,,,
rolls/buns,whole milk,butter,frozen vegetables,,,,,,,
whole milk,other vegetables,,,,,,,,,
pork,yogurt,margarine,,,,,,,,
frankfurter,whole milk,,,,,,,,,
tropical fruit,packaged fruit/vegetables,cereals,,,,,,,,
canned beer,brown bread,,,,,,,,,
soda,hard cheese,,,,,,,,,
frozen potato products,frankfurter,brown bread,roll products ,detergent,,,,,,
berries,whipped/sour cream,,,,,,,,,
frozen meals,dish cleaner,,,,,,,,,
whole milk,dessert,,,,,,,,,
vinegar,whole milk,bottled beer,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
yogurt,sliced cheese,whipped/sour cream,,,,,,,,
soda,processed cheese,,,,,,,,,
chocolate,ice cream,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
beef,spread cheese,misc. beverages,,,,,,,,
detergent,pet care,,,,,,,,,
shopping bags,soda,,,,,,,,,
curd,cream cheese ,nut snack,chocolate marshmallow,yogurt,female sanitary products,,,,,
chicken,soda,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
root vegetables,frozen fruits,waffles,,,,,,,,
soda,chocolate,,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
liquor,sweet spreads,,,,,,,,,
cake bar,Instant food products,,,,,,,,,
citrus fruit,sauces,,,,,,,,,
cream cheese ,yogurt,sugar,,,,,,,,
frankfurter,citrus fruit,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
long life bakery product,UHT-milk,whole milk,,,,,,,,
root vegetables,soups,decalcifier,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
canned beer,rolls/buns,artif. sweetener,soda,,,,,,,
ham,chicken,condensed milk,other vegetables,whipped/sour cream,,,,,,
sausage,waffles,,,,,,,,,
ham,root vegetables,margarine,whipped/sour cream,,,,,,,
pip fruit,waffles,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
domestic eggs,yogurt,canned beer,,,,,,,,
rolls/buns,napkins,ice cream,nut snack,,,,,,,
yogurt,whole milk,pickled vegetables,long life bakery product,mustard,,,,,,
long life bakery product,napkins,,,,,,,,,
beef,grapes,,,,,,,,,
whipped/sour cream,specialty fat,,,,,,,,,
onions,soda,,,,,,,,,
whole milk,pastry,liquor,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
rolls/buns,canned vegetables,cat food,,,,,,,,
butter,waffles,,,,,,,,,
pork,frankfurter,other vegetables,potato products,,,,,,,
beef,citrus fruit,whole milk,yogurt,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
root vegetables,white bread,sliced cheese,,,,,,,,
whole milk,dessert,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
whipped/sour cream,UHT-milk,fruit/vegetable juice,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
chewing gum,bottled water,,,,,,,,,
chicken,yogurt,newspapers,shopping bags,rolls/buns,domestic eggs,,,,,
sausage,bottled beer,,,,,,,,,
other vegetables,ice cream,,,,,,,,,
frankfurter,brandy,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
berries,soda,butter,other vegetables,white bread,cream cheese ,,,,,
misc. beverages,instant coffee,soda,tropical fruit,cling film/bags,,,,,,
frozen vegetables,newspapers,,,,,,,,,
salt,fruit/vegetable juice,,,,,,,,,
chicken,canned beer,,,,,,,,,
tropical fruit,frozen meals,,,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
misc. beverages,packaged fruit/vegetables,,,,,,,,,
curd,yogurt,detergent,,,,,,,,
berries,candy,,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,candy,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
dessert,butter,,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
beef,turkey,grapes,shopping bags,sliced cheese,bottled water,,,,,
frankfurter,frozen potato products,newspapers,softener,abrasive cleaner,,,,,,
canned beer,domestic eggs,,,,,,,,,
specialty chocolate,herbs,,,,,,,,,
curd,domestic eggs,,,,,,,,,
pork,cereals,,,,,,,,,
chicken,whole milk,canned beer,,,,,,,,
pickled vegetables,butter,,,,,,,,,
pork,yogurt,coffee,,,,,,,,
pork,yogurt,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sausage,sugar,semi-finished bread,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
brown bread,newspapers,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
tropical fruit,frozen dessert,napkins,,,,,,,,
other vegetables,domestic eggs,long life bakery product,,,,,,,,
chocolate,UHT-milk,sliced cheese,,,,,,,,
napkins,whole milk,,,,,,,,,
whole milk,citrus fruit,pip fruit,butter,grapes,ice cream,margarine,whipped/sour cream,,,
pickled vegetables,whole milk,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
whole milk,margarine,canned vegetables,,,,,,,,
butter milk,red/blush wine,,,,,,,,,
roll products ,toilet cleaner,,,,,,,,,
flour,tropical fruit,,,,,,,,,
root vegetables,yogurt,bottled water,,,,,,,,
coffee,whole milk,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
beef,white bread,,,,,,,,,
meat spreads,mayonnaise,,,,,,,,,
soda,pip fruit,sugar,brown bread,,,,,,,
pork,other vegetables,,,,,,,,,
canned fish,canned fish,,,,,,,,,
kitchen towels,margarine,,,,,,,,,
whole milk,Instant food products,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
beef,mayonnaise,,,,,,,,,
sausage,white wine,,,,,,,,,
dishes,other vegetables,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
beverages,domestic eggs,,,,,,,,,
bottled water,frozen meals,,,,,,,,,
sliced cheese,pip fruit,,,,,,,,,
sausage,newspapers,cream,,,,,,,,
pastry,napkins,,,,,,,,,
newspapers,processed cheese,,,,,,,,,
newspapers,misc. beverages,,,,,,,,,
citrus fruit,pastry,dish cleaner,,,,,,,,
whole milk,domestic eggs,syrup,,,,,,,,
soda,yogurt,,,,,,,,,
other vegetables,chicken,,,,,,,,,
frankfurter,pastry,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
meat,whole milk,,,,,,,,,
frozen dessert,yogurt,,,,,,,,,
root vegetables,newspapers,butter,,,,,,,,
newspapers,white wine,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
napkins,napkins,,,,,,,,,
rolls/buns,hamburger meat,candles,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
rolls/buns,condensed milk,whole milk,soda,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
beef,butter milk,,,,,,,,,
sausage,fruit/vegetable juice,pot plants,,,,,,,,
whole milk,root vegetables,margarine,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
whole milk,butter,,,,,,,,,
misc. beverages,processed cheese,,,,,,,,,
processed cheese,rolls/buns,canned fish,,,,,,,,
organic sausage,processed cheese,oil,,,,,,,,
canned beer,sugar,,,,,,,,,
frankfurter,pip fruit,whipped/sour cream,,,,,,,,
